user_id,subscription_type,final_journey
256301,Monthly,Homepage-Course certificate-Upcoming courses-Career tracks-Career track certificate-Courses-Log in-Homepage-Career track certificate-Course certificate-Career tracks-Course certificate-Courses-Sign up-Courses-Sign up-Checkout-Checkout-Checkout-Checkout-Checkout
256312,Annual,Coupon-Coupon
258989,Monthly,Homepage-Resources center-Other-Courses-Sign up-Courses-Resources center-Other-Resources center-Other-Other-Resources center-Courses-Sign up-Resources center-Other-Sign up-Checkout-Checkout
260579,Monthly,Homepage-Career tracks-Pricing-Log in-Sign up-Checkout-Checkout-Coupon
261077,Annual,Log in-Resources center-Other-Homepage-Log in
261624,Annual,Homepage-Pricing-Career tracks-Sign up-Log in-Coupon-Checkout
262246,Monthly,Homepage-Log in-Other-Other-Success stories-Resources center-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Homepage-Log in-Checkout
262728,Annual,Log in-Checkout
262999,Annual,Log in-Checkout
263101,Annual,Homepage-Log in-Homepage-Resources center-Courses-Career track certificate-Career track certificate-Log in-Homepage-Pricing-Checkout-Course certificate-Homepage-Pricing-Checkout-Homepage-Log in-Checkout
266371,Annual,Other-Log in-Log in-Log in-Other-Log in-Log in-Log in-Log in-Log in-Log in-Pricing-Log in-Homepage-Log in-Homepage-Courses-Sign up-Log in-Homepage-Log in-Homepage-Pricing-Checkout-Homepage-Log in-Pricing-Pricing-Checkout-Courses-Career tracks-Resources center-Other-Coupon
267025,Annual,Homepage-Log in-Log in-Homepage-Log in-Log in-Coupon
267334,Monthly,Homepage-Courses-Course certificate-Courses-Homepage-Courses-Log in-Courses-Sign up-Checkout
267719,Monthly,Career tracks-Sign up-Log in-Checkout-Log in-Log in-Log in-Log in-Log in-Checkout
267955,Annual,Other-Homepage-Log in-Courses-Courses-Log in-Other-Other-Other-Other-Log in-Log in-Checkout-Log in-Log in-Log in-Homepage-Upcoming courses-Pricing-Checkout-Homepage-Pricing-Checkout-Resources center-Courses-Resources center-Other-Log in-Checkout-Coupon-Resources center-Coupon-Sign up-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
269209,Annual,Log in-Resources center-Log in-Resources center-Log in-Coupon
